fromType;toType;fromMethod;toMethod;calledFrom
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManyBagToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;IParentWithCollection CreateParent(String);IParentWithCollection CreateParent(String);CreateParentWithNullChildren
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManyBagToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;IParentWithCollection CreateParent(String);IParentWithCollection CreateParent(String);CreateParentWithNoChildren
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManyBagToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;ICollection CreateCollection();ICollection CreateCollection();CreateParentWithNoChildren
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManyBagToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;IParentWithCollection CreateParent(String);IParentWithCollection CreateParent(String);CreateParentWithOneChild
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManyBagToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;ICollection CreateCollection();ICollection CreateCollection();CreateParentWithOneChild
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManySetToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;IParentWithCollection CreateParent(String);IParentWithCollection CreateParent(String);OnTearDown
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManySetToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;ICollection CreateCollection();ICollection CreateCollection();OnTearDown
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManySetToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;ICollection CreateCollection();ICollection CreateCollection();UpdateParentNullToOneChildDiffCollection
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManySetToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;ICollection CreateCollection();ICollection CreateCollection();UpdateParentNoneToOneChildDiffCollection
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManySetToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;ICollection CreateCollection();ICollection CreateCollection();UpdateParentOneChildDiffCollectionSameChild
