fromType;toType;fromMethod;toMethod;calledFrom
cs+class://System/Net/Http/Formatting/MockBufferedMediaTypeFormatter;cs+class://System/Net/Http/Formatting/BufferedMediaTypeFormatter;Object ReadFromStream(Type, Stream, HttpContent, IFormatterLogger);Object ReadFromStream(Type, Stream, HttpContent, IFormatterLogger);ReadFromStream
cs+class://System/Net/Http/Formatting/JsonMediaTypeFormatterTests/TestJsonMediaTypeFormatter;cs+class://System/Net/Http/Formatting/JsonMediaTypeFormatter;UnknownType CreateJsonSerializer();UnknownType CreateJsonSerializer();CreateJsonSerializerInternal
cs+class://System/Net/Http/Formatting/JsonMediaTypeFormatterTests/TestJsonMediaTypeFormatter;cs+class://System/Net/Http/Formatting/JsonMediaTypeFormatter;DataContractJsonSerializer CreateDataContractSerializer(Type);DataContractJsonSerializer CreateDataContractSerializer(Type);CreateDataContractSerializer
cs+class://System/Net/Http/Formatting/XmlMediaTypeFormatterTests/TestXmlMediaTypeFormatter;cs+class://System/Net/Http/Formatting/XmlMediaTypeFormatter;XmlSerializer CreateXmlSerializer(Type);XmlSerializer CreateXmlSerializer(Type);CreateDefaultSerializer
cs+class://System/Net/Http/Formatting/XmlMediaTypeFormatterTests/TestXmlMediaTypeFormatter;cs+class://System/Net/Http/Formatting/XmlMediaTypeFormatter;DataContractSerializer CreateDataContractSerializer(Type);DataContractSerializer CreateDataContractSerializer(Type);CreateDefaultSerializer
cs+class://System/Web/Http/SelfHost/ServiceModel/Channels/BufferManagerOutputStream;cs+class://System/Web/Http/SelfHost/ServiceModel/Channels/BufferedOutputStream;Exception CreateQuotaExceededException(Int32);Exception CreateQuotaExceededException(Int32);WriteByte
cs+class://System/Web/Http/SelfHost/ServiceModel/Channels/BufferManagerOutputStream;cs+class://System/Web/Http/SelfHost/ServiceModel/Channels/BufferedOutputStream;Exception CreateQuotaExceededException(Int32);Exception CreateQuotaExceededException(Int32);WriteCore
cs+class://System/Web/Http/SelfHost/ServiceModel/Channels/BufferManagerOutputStream;cs+class://System/Web/Http/SelfHost/ServiceModel/Channels/BufferedOutputStream;Exception CreateQuotaExceededException(Int32);Exception CreateQuotaExceededException(Int32);WriteCore
cs+class://System/Web/Http/WebHost/SeekableBufferedRequestStream;cs+class://System/Web/Http/NonOwnedStream;Int32 EndRead(IAsyncResult);Int32 EndRead(IAsyncResult);EndRead
cs+class://System/Web/Http/WebHost/SeekableBufferedRequestStream;cs+class://System/Web/Http/NonOwnedStream;Int32 Read(UnknownType, Int32, Int32);Int32 Read(UnknownType, Int32, Int32);Read
