From;To;Source
cs+class://Castle/Facilities/WcfIntegration/Rest/RestServiceHost;cs+class://System/ServiceModel/Web/WebServiceHost;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/Rest/RestServiceHostBuilder;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostBuilder[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/Rest/RestServiceModel;cs+class://Castle/Facilities/WcfIntegration/WcfServiceModel[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/WcfEndpointBase[1];cs+class://Castle/Facilities/WcfIntegration/WcfEndpointBase;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/ContractEndpointModel;cs+class://Castle/Facilities/WcfIntegration/WcfEndpointBase[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/ServiceEndpointModel;cs+class://Castle/Facilities/WcfIntegration/WcfEndpointBase[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/ConfigurationEndpointModel;cs+class://Castle/Facilities/WcfIntegration/WcfEndpointBase[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/BindingEndpointModel;cs+class://Castle/Facilities/WcfIntegration/WcfEndpointBase[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/BindingAddressEndpointModel;cs+class://Castle/Facilities/WcfIntegration/WcfEndpointBase[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/DiscoveredEndpointModel;cs+class://Castle/Facilities/WcfIntegration/WcfEndpointBase[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/Demo/UsingWindsorSvc/AmUsingWindsorClient;cs+class://System/ServiceModel/ClientBase[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/Demo/UsingWindsorWithoutConfig;cs+class://Castle/Facilities/WcfIntegration/Demo/UsingWindsor;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/Tests/Behaviors/AddOperationsHeader;cs+class://Castle/Facilities/WcfIntegration/Behaviors/AbstractMessageAction;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/Tests/Behaviors/StoreMessageBody;cs+class://Castle/Facilities/WcfIntegration/Behaviors/AbstractMessageEnvelopeAction;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/Tests/Behaviors/NetDataContractFormatBehavior/NetDataContractSerializerOperationBehavior;cs+class://System/ServiceModel/Description/DataContractSerializerOperationBehavior;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/Tests/Behaviors/ReplaceOperationsResult;cs+class://Castle/Facilities/WcfIntegration/Behaviors/AbstractMessageEnvelopeAction;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/Tests/HelloMessageFormat;cs+class://Castle/Facilities/WcfIntegration/Behaviors/LogMessageFormat;(not implemented)
