TypeName;SystemType
cs+class://System/Data/Entity/ModelConfiguration/Configuration/TypeConventionConfiguration[1];True
cs+class://System/Data/Entity/ModelConfiguration/Configuration/TypeConventionWithHavingConfiguration[2];True
cs+class://System/Data/Entity/ModelConfiguration/Configuration/TypeConventionWithHavingConfiguration[1];True
cs+class://System/Data/Entity/ModelConfiguration/Configuration/ConventionTypeConfiguration;True
cs+class://System/Data/Entity/ModelConfiguration/Configuration/ConventionTypeConfiguration[1];True
cs+interface://System/Data/Entity/ModelConfiguration/Conventions/IConfigurationConvention;True
cs+interface://System/Data/Entity/ModelConfiguration/Conventions/IConvention;True
cs+interface://System/Data/Entity/ModelConfiguration/Conventions/IConfigurationConvention[1];True
cs+class://System/Data/Entity/ModelConfiguration/Conventions/PrimitivePropertyAttributeConfigurationConvention[1];True
cs+class://System/Data/Entity/ModelConfiguration/Conventions/Convention;True
cs+class://System/Data/Entity/ModelConfiguration/Conventions/PropertyAttributeConfigurationConvention[1];True
cs+class://System/Data/Entity/ModelConfiguration/Conventions/TypeAttributeConfigurationConvention[1];True
cs+class://System/Data/Entity/ModelConfiguration/Configuration/PropertyMappingConfiguration;True
cs+class://System/Data/Entity/ModelConfiguration/Conventions/TypeConvention;True
cs+class://System/Data/Entity/ModelConfiguration/Conventions/TypeConventionBase;True
cs+interface://System/Data/Entity/ModelConfiguration/Conventions/IConfigurationConvention[2];True
cs+class://System/Data/Entity/ModelConfiguration/Conventions/TypeConvention[1];True
cs+class://System/Data/Entity/ModelConfiguration/Conventions/TypeConventionWithHaving[2];True
cs+class://System/Data/Entity/ModelConfiguration/Conventions/TypeConventionWithHavingBase[1];True
cs+class://System/Data/Entity/ModelConfiguration/Conventions/TypeConventionWithHaving[1];True
cs+interface://System/Data/Entity/ModelConfiguration/Conventions/IConceptualModelConvention[1];True
cs+interface://System/Data/Entity/ModelConfiguration/Conventions/IStoreModelConvention[1];True
cs+class://System/Data/Entity/ModelConfiguration/Conventions/Sets/ConventionSet;True
cs+class://System/Data/Entity/ModelConfiguration/Edm/MetadataPropertyExtensions;True
cs+class://System/Data/Entity/QueryableExtensions;True
cs+class://System/Data/Entity/Internal/InterceptableDbCommand;True
cs+class://System/Data/Common/DbCommand;False
cs+class://System/Data/Common/DbParameter;False
cs+interface://System/Data/IDbDataParameter;False
cs+interface://System/Data/IDataParameter;False
cs+class://System/Data/Common/DbDataReader;False
cs+class://System/Data/DataTable;False
