From;To;Source
cs+class://System/Data/Entity/Core/Common/Internal/Materialization/Shaper/ColumnErrorHandlingValueReader[1];cs+class://System/Data/Entity/Core/Common/Internal/Materialization/Shaper/ErrorHandlingValueReader[1];(not implemented)
cs+class://System/Data/Entity/Core/Common/Internal/Materialization/Shaper/PropertyErrorHandlingValueReader[1];cs+class://System/Data/Entity/Core/Common/Internal/Materialization/Shaper/ErrorHandlingValueReader[1];(not implemented)
cs+class://System/Data/Entity/Core/Common/Internal/Materialization/Shaper[1];cs+class://System/Data/Entity/Core/Common/Internal/Materialization/Shaper;(not implemented)
cs+class://System/Data/Entity/Core/Common/QueryCache/CompiledQueryCacheEntry;cs+class://System/Data/Entity/Core/Common/QueryCache/QueryCacheEntry;(not implemented)
cs+class://System/Data/Entity/Core/Common/Utils/Boolean/AndExpr[1];cs+class://System/Data/Entity/Core/Common/Utils/Boolean/TreeExpr[1];(not implemented)
cs+class://System/Data/Entity/Core/Common/Utils/Boolean/Clause[1];cs+class://System/Data/Entity/Core/Common/Utils/Boolean/NormalFormNode[1];(not implemented)
cs+class://System/Data/Entity/Core/Common/Utils/Boolean/CnfClause[1];cs+class://System/Data/Entity/Core/Common/Utils/Boolean/Clause[1];(not implemented)
cs+class://System/Data/Entity/Core/Common/Utils/Boolean/CnfSentence[1];cs+class://System/Data/Entity/Core/Common/Utils/Boolean/Sentence[2];(not implemented)
cs+class://System/Data/Entity/Core/Common/Utils/Boolean/DnfClause[1];cs+class://System/Data/Entity/Core/Common/Utils/Boolean/Clause[1];(not implemented)
cs+class://System/Data/Entity/Core/Common/Utils/Boolean/DnfSentence[1];cs+class://System/Data/Entity/Core/Common/Utils/Boolean/Sentence[2];(not implemented)
cs+class://System/Data/Entity/Core/Common/Utils/Boolean/KnowledgeBase/Implication;cs+class://System/Data/Entity/Core/Common/Utils/Boolean/OrExpr[1];(not implemented)
cs+class://System/Data/Entity/Core/Common/Utils/Boolean/KnowledgeBase/Equivalence;cs+class://System/Data/Entity/Core/Common/Utils/Boolean/AndExpr[1];(not implemented)
cs+class://System/Data/Entity/Core/Common/Utils/Boolean/Literal[1];cs+class://System/Data/Entity/Core/Common/Utils/Boolean/NormalFormNode[1];(not implemented)
cs+class://System/Data/Entity/Core/Common/Utils/Boolean/NotExpr[1];cs+class://System/Data/Entity/Core/Common/Utils/Boolean/TreeExpr[1];(not implemented)
cs+class://System/Data/Entity/Core/Common/Utils/Boolean/OrExpr[1];cs+class://System/Data/Entity/Core/Common/Utils/Boolean/TreeExpr[1];(not implemented)
cs+class://System/Data/Entity/Core/Common/Utils/Boolean/Sentence[2];cs+class://System/Data/Entity/Core/Common/Utils/Boolean/NormalFormNode[1];(not implemented)
cs+class://System/Data/Entity/Core/EntityCommandCompilationException;cs+class://System/Data/Entity/Core/EntityException;(not implemented)
cs+class://System/Data/Entity/Core/EntityCommandExecutionException;cs+class://System/Data/Entity/Core/EntityException;(not implemented)
cs+class://System/Data/Entity/Core/EntityException;cs+class://System/Data/DataException;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/BooleanFacetDescriptionElement;cs+class://System/Data/Entity/Core/SchemaObjectModel/FacetDescriptionElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/ByteFacetDescriptionElement;cs+class://System/Data/Entity/Core/SchemaObjectModel/FacetDescriptionElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/CollectionTypeElement;cs+class://System/Data/Entity/Core/SchemaObjectModel/ModelFunctionTypeElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/DocumentationElement;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaElement;(not implemented)
cs+class://System/Data/Entity/Core/SchemaObjectModel/EntityContainer;cs+class://System/Data/Entity/Core/SchemaObjectModel/SchemaType;(not implemented)
