TypeName;SystemType
cs+class://System/Linq/Expressions/NewArrayExpression;False
cs+class://System/Linq/Expressions/RuntimeVariablesExpression;False
cs+class://System/Linq/Expressions/SwitchCase;False
cs+class://System/Linq/Expressions/SwitchExpression;False
cs+class://System/Linq/Expressions/TryExpression;False
cs+class://System/Linq/Expressions/TypeBinaryExpression;False
cs+class://System/Linq/Expressions/UnaryExpression;False
cs+class://System/Runtime/CompilerServices/DebugInfoGenerator;False
cs+class://System/Reflection/Emit/MethodBuilder;False
cs+class://System/Reflection/Emit/MethodToken;False
cs+class://System/Reflection/Emit/ParameterBuilder;False
cs+class://System/Reflection/Emit/UnmanagedMarshal;False
cs+class://System/Reflection/Emit/CustomAttributeBuilder;False
cs+interface://System/Runtime/InteropServices/_CustomAttributeBuilder;False
cs+class://System/Reflection/Emit/ParameterToken;False
cs+interface://System/Runtime/InteropServices/_ParameterBuilder;False
cs+class://System/Reflection/Emit/ILGenerator;False
cs+class://System/Reflection/Emit/OpCode;False
cs+class://System/Reflection/Emit/SignatureHelper;False
cs+interface://System/Runtime/InteropServices/_SignatureHelper;False
cs+class://System/Reflection/Emit/Label;False
cs+class://System/Reflection/Emit/LocalBuilder;False
cs+class://System/Reflection/LocalVariableInfo;False
cs+interface://System/Runtime/InteropServices/_LocalBuilder;False
cs+interface://System/Diagnostics/SymbolStore/ISymbolDocumentWriter;False
cs+interface://System/Runtime/InteropServices/_ILGenerator;False
cs+interface://System/Runtime/InteropServices/_MethodBuilder;False
cs+class://System/Runtime/CompilerServices/CallSite[1];False
cs+class://System/Runtime/CompilerServices/CallSite;False
cs+class://System/Dynamic/DynamicMetaObjectBinder;False
cs+class://System/Dynamic/GetMemberBinder;False
cs+class://System/Dynamic/SetMemberBinder;False
cs+class://System/Dynamic/DeleteMemberBinder;False
cs+class://System/Dynamic/GetIndexBinder;False
cs+class://System/Dynamic/CallInfo;False
cs+class://System/Dynamic/SetIndexBinder;False
cs+class://System/Dynamic/DeleteIndexBinder;False
