From;To;Source
cs+class://Raven/Client/Document/Async/AsyncDocumentSession;cs+class://Raven/Client/Document/InMemoryDocumentSessionOperations;(not implemented)
cs+class://Raven/Client/Document/Async/AsyncDocumentSession/QueryYieldStream[1];cs+class://Raven/Client/Document/Async/AsyncDocumentSession/YieldStream[1];(not implemented)
cs+class://Raven/Client/Document/Async/AsyncDocumentSession/DocsYieldStream[1];cs+class://Raven/Client/Document/Async/AsyncDocumentSession/YieldStream[1];(not implemented)
cs+class://Raven/Client/Shard/AsyncShardedDocumentSession;cs+class://Raven/Client/Shard/BaseShardedDocumentSession[1];(not implemented)
cs+class://Raven/Client/Shard/BaseShardedDocumentSession[1];cs+class://Raven/Client/Document/InMemoryDocumentSessionOperations;(not implemented)
cs+class://Raven/Client/Shard/ShardedDocumentSession;cs+class://Raven/Client/Shard/BaseShardedDocumentSession[1];(not implemented)
cs+class://Raven/Client/Shard/ShardedRavenQueryInspector[1];cs+class://Raven/Client/Linq/RavenQueryInspector[1];(not implemented)
cs+class://Raven/Abstractions/Extensions/JsonExtensions/DefaultServerContractResolver;cs+class://Raven/Imports/Newtonsoft/Json/Serialization/DefaultContractResolver;(not implemented)
cs+class://Raven/Abstractions/Json/RavenJsonTextReader;cs+class://Raven/Imports/Newtonsoft/Json/JsonTextReader;(not implemented)
cs+class://Raven/Abstractions/Linq/WrapperGrouping;cs+class://Raven/Abstractions/Linq/DynamicList;(not implemented)
cs+class://Raven/Abstractions/Logging/LogProviders/Log4NetLogManager;cs+class://Raven/Abstractions/Logging/LogProviders/LogManagerBase;(not implemented)
cs+class://Raven/Abstractions/Logging/LogProviders/NLogLogManager;cs+class://Raven/Abstractions/Logging/LogProviders/LogManagerBase;(not implemented)
cs+class://Raven/Abstractions/Util/CompletedTask;cs+class://Raven/Abstractions/Util/CompletedTask[1];(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/Bson/BsonString;cs+class://Raven/Imports/Newtonsoft/Json/Bson/BsonValue;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/Bson/BsonBinary;cs+class://Raven/Imports/Newtonsoft/Json/Bson/BsonValue;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/JsonArrayAttribute;cs+class://Raven/Imports/Newtonsoft/Json/JsonContainerAttribute;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/JsonDictionaryAttribute;cs+class://Raven/Imports/Newtonsoft/Json/JsonContainerAttribute;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/JsonObjectAttribute;cs+class://Raven/Imports/Newtonsoft/Json/JsonContainerAttribute;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/JsonReaderException;cs+class://Raven/Imports/Newtonsoft/Json/JsonException;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/JsonSerializationException;cs+class://Raven/Imports/Newtonsoft/Json/JsonException;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/JsonWriterException;cs+class://Raven/Imports/Newtonsoft/Json/JsonException;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/Converters/XDeclarationWrapper;cs+class://Raven/Imports/Newtonsoft/Json/Converters/XObjectWrapper;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/Converters/XDocumentWrapper;cs+class://Raven/Imports/Newtonsoft/Json/Converters/XContainerWrapper;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/Converters/XTextWrapper;cs+class://Raven/Imports/Newtonsoft/Json/Converters/XObjectWrapper;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/Converters/XCommentWrapper;cs+class://Raven/Imports/Newtonsoft/Json/Converters/XObjectWrapper;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/Converters/XProcessingInstructionWrapper;cs+class://Raven/Imports/Newtonsoft/Json/Converters/XObjectWrapper;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/Converters/XContainerWrapper;cs+class://Raven/Imports/Newtonsoft/Json/Converters/XObjectWrapper;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/Converters/XAttributeWrapper;cs+class://Raven/Imports/Newtonsoft/Json/Converters/XObjectWrapper;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/Converters/XElementWrapper;cs+class://Raven/Imports/Newtonsoft/Json/Converters/XContainerWrapper;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/Linq/JArray;cs+class://Raven/Imports/Newtonsoft/Json/Linq/JContainer;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/Linq/JConstructor;cs+class://Raven/Imports/Newtonsoft/Json/Linq/JContainer;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/Linq/JObject;cs+class://Raven/Imports/Newtonsoft/Json/Linq/JContainer;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/Linq/JProperty;cs+class://Raven/Imports/Newtonsoft/Json/Linq/JContainer;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/Linq/JRaw;cs+class://Raven/Imports/Newtonsoft/Json/Linq/JValue;(not implemented)
cs+class://Raven/Imports/Newtonsoft/Json/Schema/JsonSchemaException;cs+class://Raven/Imports/Newtonsoft/Json/JsonException;(not implemented)
