direct?;source;from;to;from declaration
False;VariableInitializer;cs+class://Umbraco/Core/Cache/NullCacheProvider;cs+interface://Umbraco/Core/Cache/IRuntimeCacheProvider;(field initializer) in Umbraco.Core.CacheHelper
False;VariableInitializer;cs+class://Umbraco/Core/Cache/NullCacheProvider;cs+interface://Umbraco/Core/Cache/IRuntimeCacheProvider;(field initializer) in Umbraco.Core.CacheHelper
True;VariableInitializer;cs+class://Umbraco/Core/Cache/NullCacheProvider;cs+interface://Umbraco/Core/Cache/IRuntimeCacheProvider;(field initializer) in Umbraco.Core.CacheHelper
False;Parameter;cs+class://Umbraco/Core/Cache/NullCacheProvider;cs+interface://Umbraco/Core/Cache/IRuntimeCacheProvider;CreateApplicationCache in Umbraco.Core.CoreBootManager
False;Parameter;cs+class://Umbraco/Core/Cache/NullCacheProvider;cs+interface://Umbraco/Core/Cache/IRuntimeCacheProvider;Services in Umbraco.Core.Standalone.ServiceContextManager
False;Parameter;cs+class://Umbraco/Core/Cache/NullCacheProvider;cs+interface://Umbraco/Core/Cache/IRuntimeCacheProvider;Setup in Umbraco.Tests.Macros.MacroTests
True;Parameter;cs+class://Umbraco/Core/Cache/StaticCacheProvider;cs+interface://Umbraco/Core/Cache/ICacheProvider;Services in Umbraco.Web.Standalone.ServiceContextManager
True;Parameter;cs+class://Umbraco/Core/Cache/StaticCacheProvider;cs+interface://Umbraco/Core/Cache/ICacheProvider;CreateApplicationCache in Umbraco.Core.CoreBootManager
True;Parameter;cs+class://Umbraco/Core/Cache/StaticCacheProvider;cs+interface://Umbraco/Core/Cache/ICacheProvider;Services in Umbraco.Core.Standalone.ServiceContextManager
True;Parameter;cs+class://Umbraco/Core/Cache/StaticCacheProvider;cs+interface://Umbraco/Core/Cache/ICacheProvider;Setup in Umbraco.Tests.Macros.MacroTests
True;Parameter;cs+class://Umbraco/Core/Cache/StaticCacheProvider;cs+interface://Umbraco/Core/Cache/ICacheProvider;Can_Get_Pre_Value_Collection_With_Cache in Umbraco.Tests.Persistence.Repositories.DataTypeDefinitionRepositoryTest
True;Parameter;cs+class://Umbraco/Core/Cache/StaticCacheProvider;cs+interface://Umbraco/Core/Cache/ICacheProvider;Can_Get_Pre_Value_Collection_With_Cache in Umbraco.Tests.Persistence.Repositories.DataTypeDefinitionRepositoryTest
True;Parameter;cs+class://Umbraco/Core/Cache/StaticCacheProvider;cs+interface://Umbraco/Core/Cache/ICacheProvider;Can_Get_Pre_Value_As_String_With_Cache in Umbraco.Tests.Persistence.Repositories.DataTypeDefinitionRepositoryTest
True;Parameter;cs+class://Umbraco/Core/Cache/StaticCacheProvider;cs+interface://Umbraco/Core/Cache/ICacheProvider;Can_Get_Pre_Value_As_String_With_Cache in Umbraco.Tests.Persistence.Repositories.DataTypeDefinitionRepositoryTest
False;Parameter;cs+class://Umbraco/Core/ConcurrentHashSet[1];cs+interface://System/Collections/Generic/ICollection[1];InitializeFromFile in Umbraco.Web.Install.InstallStatusTracker
False;Parameter;cs+class://Umbraco/Core/ConcurrentHashSet[1];cs+interface://System/Collections/Generic/ICollection[1];Initialize in Umbraco.Web.Install.InstallStatusTracker
False;Parameter;cs+class://Umbraco/Core/ConcurrentHashSet[1];cs+interface://System/Collections/Generic/ICollection[1];Initialize in Umbraco.Web.Install.InstallStatusTracker
False;Parameter;cs+class://Umbraco/Core/ConcurrentHashSet[1];cs+interface://System/Collections/Generic/ICollection[1];Initialize in Umbraco.Web.Install.InstallStatusTracker
False;Parameter;cs+class://Umbraco/Core/ConcurrentHashSet[1];cs+interface://System/Collections/Generic/ICollection[1];SetComplete in Umbraco.Web.Install.InstallStatusTracker
False;Parameter;cs+class://Umbraco/Core/ConcurrentHashSet[1];cs+interface://System/Collections/Generic/ICollection[1];GetStatus in Umbraco.Web.Install.InstallStatusTracker
False;Return;cs+class://Umbraco/Core/Configuration/BaseRest/ExtensionElement;cs+class://System/Configuration/ConfigurationElementCollection;CreateNewElement in Umbraco.Core.Configuration.BaseRest.ExtensionElementCollection
True;Return;cs+class://Umbraco/Core/Configuration/BaseRest/MethodElement;cs+class://System/Configuration/ConfigurationElement;CreateNewElement in Umbraco.Core.Configuration.BaseRest.ExtensionElement
