From;To;Source
cs+class://NHibernate/Criterion/Lambda/IQueryOverLockBuilder[2];cs+class://NHibernate/Criterion/Lambda/QueryOverLockBuilderBase[3];(not implemented)
cs+class://NHibernate/Criterion/Lambda/QueryOverOrderBuilder[2];cs+class://NHibernate/Criterion/Lambda/QueryOverOrderBuilderBase[3];(not implemented)
cs+class://NHibernate/Criterion/Lambda/IQueryOverOrderBuilder[2];cs+class://NHibernate/Criterion/Lambda/QueryOverOrderBuilderBase[3];(not implemented)
cs+class://NHibernate/Criterion/Lambda/QueryOverRestrictionBuilder[2];cs+class://NHibernate/Criterion/Lambda/QueryOverRestrictionBuilderBase[3];(not implemented)
cs+class://NHibernate/Criterion/Lambda/IQueryOverRestrictionBuilder[2];cs+class://NHibernate/Criterion/Lambda/QueryOverRestrictionBuilderBase[3];(not implemented)
cs+class://NHibernate/Criterion/Lambda/QueryOverSubqueryBuilder[2];cs+class://NHibernate/Criterion/Lambda/QueryOverSubqueryBuilderBase[4];(not implemented)
cs+class://NHibernate/Criterion/Lambda/IQueryOverSubqueryBuilder[2];cs+class://NHibernate/Criterion/Lambda/QueryOverSubqueryBuilderBase[4];(not implemented)
cs+class://NHibernate/Criterion/Lambda/QueryOverSubqueryPropertyBuilder[2];cs+class://NHibernate/Criterion/Lambda/QueryOverSubqueryPropertyBuilderBase[3];(not implemented)
cs+class://NHibernate/Criterion/Lambda/IQueryOverSubqueryPropertyBuilder[2];cs+class://NHibernate/Criterion/Lambda/QueryOverSubqueryPropertyBuilderBase[3];(not implemented)
cs+class://NHibernate/Criterion/NullSubqueryExpression;cs+class://NHibernate/Criterion/SubqueryExpression;(not implemented)
cs+class://NHibernate/Dialect/InformixDialect0940;cs+class://NHibernate/Dialect/InformixDialect;(not implemented)
cs+class://NHibernate/Dialect/InformixDialect1000;cs+class://NHibernate/Dialect/InformixDialect0940;(not implemented)
cs+class://NHibernate/Dialect/Oracle8iDialect/CurrentTimeStamp;cs+class://NHibernate/Dialect/Function/NoArgSQLFunction;(not implemented)
cs+class://NHibernate/Dialect/Schema/MsSqlCeDataBaseSchema;cs+class://NHibernate/Dialect/Schema/AbstractDataBaseSchema;(not implemented)
cs+class://NHibernate/Dialect/Schema/MsSqlCeTableMetadata;cs+class://NHibernate/Dialect/Schema/AbstractTableMetadata;(not implemented)
cs+class://NHibernate/Dialect/Schema/MsSqlCeColumnMetadata;cs+class://NHibernate/Dialect/Schema/AbstractColumnMetaData;(not implemented)
cs+class://NHibernate/Dialect/Schema/MsSqlCeIndexMetadata;cs+class://NHibernate/Dialect/Schema/AbstractIndexMetadata;(not implemented)
cs+class://NHibernate/Dialect/Schema/MsSqlCeForeignKeyMetadata;cs+class://NHibernate/Dialect/Schema/AbstractForeignKeyMetadata;(not implemented)
