fromType;toType;fromMethod;toMethod;calledFrom
cs+class://Raven/Database/Plugins/Catalogs/BundlesFilteredCatalog;cs+class://Raven/Database/Plugins/Catalogs/FilteredCatalog;Boolean IsMatch(ExportDefinition);Boolean IsMatch(ExportDefinition);GetExports
cs+class://Raven/Database/Server/Security/MixedModeRequestAuthorizer;cs+class://Raven/Database/Server/Security/AbstractRequestAuthorizer;Void Initialize();Void Initialize();Initialize
cs+class://Raven/Database/Server/Security/MixedModeRequestAuthorizer;cs+class://Raven/Database/Server/Security/AbstractRequestAuthorizer;Void Initialize();Void Initialize();Initialize
cs+class://Raven/Database/Server/Security/Windows/WindowsRequestAuthorizer;cs+class://Raven/Database/Server/Security/AbstractRequestAuthorizer;Void Initialize();Void Initialize();Initialize
cs+class://Raven/Database/Server/Security/Windows/WindowsRequestAuthorizer;cs+class://Raven/Database/Server/Security/AbstractRequestAuthorizer;Void Initialize();Void Initialize();Initialize
cs+class://Raven/Database/Indexing/ReducingExecuter;cs+class://Raven/Database/Indexing/AbstractIndexingExecuter;DatabaseTask GetApplicableTask(IStorageActionsAccessor);DatabaseTask GetApplicableTask(IStorageActionsAccessor);ExecuteTasks
cs+class://Raven/Database/Indexing/ReducingExecuter;cs+class://Raven/Database/Indexing/AbstractIndexingExecuter;Void FlushAllIndexes();Void FlushAllIndexes();FlushIndexes
cs+class://Raven/Database/Indexing/ReducingExecuter;cs+class://Raven/Database/Indexing/AbstractIndexingExecuter;Boolean IsIndexStale(UnknownType, IStorageActionsAccessor, Boolean, UnknownType);Boolean IsIndexStale(UnknownType, IStorageActionsAccessor, Boolean, UnknownType);ExecuteIndexing
cs+class://Raven/Database/Indexing/ReducingExecuter;cs+class://Raven/Database/Indexing/AbstractIndexingExecuter;IndexToWorkOn GetIndexToWorkOn(UnknownType);IndexToWorkOn GetIndexToWorkOn(UnknownType);ExecuteIndexing
cs+class://Raven/Database/Indexing/ReducingExecuter;cs+class://Raven/Database/Indexing/AbstractIndexingExecuter;Void UpdateStalenessMetrics(Int32);Void UpdateStalenessMetrics(Int32);ExecuteIndexing
cs+class://Raven/Database/Indexing/ReducingExecuter;cs+class://Raven/Database/Indexing/AbstractIndexingExecuter;Void ExecuteIndexingWork(IList);Void ExecuteIndexingWork(IList);ExecuteIndexing
cs+class://Raven/Database/Indexing/MapReduceIndex;cs+class://Raven/Database/Indexing/Index;Void HandleCommitPoints(IndexedItemsInfo, IndexSegmentsInfo);Void HandleCommitPoints(IndexedItemsInfo, IndexSegmentsInfo);Write
cs+class://Raven/Database/Indexing/MapReduceIndex;cs+class://Raven/Database/Indexing/Index;Boolean IsUpToDateEnoughToWriteToDisk(UnknownType);Boolean IsUpToDateEnoughToWriteToDisk(UnknownType);WriteInMemoryIndexToDiskIfNecessary
cs+class://Raven/Database/Indexing/SimpleIndex;cs+class://Raven/Database/Indexing/Index;Void HandleCommitPoints(IndexedItemsInfo, IndexSegmentsInfo);Void HandleCommitPoints(IndexedItemsInfo, IndexSegmentsInfo);Write
cs+class://Raven/Database/Indexing/SimpleIndex;cs+class://Raven/Database/Indexing/Index;Boolean IsUpToDateEnoughToWriteToDisk(UnknownType);Boolean IsUpToDateEnoughToWriteToDisk(UnknownType);WriteInMemoryIndexToDiskIfNecessary
cs+class://Raven/Database/Indexing/IndexingExecuter;cs+class://Raven/Database/Indexing/AbstractIndexingExecuter;Void Dispose();Void Dispose();Execute
cs+class://Raven/Database/Indexing/IndexingExecuter;cs+class://Raven/Database/Indexing/AbstractIndexingExecuter;DatabaseTask GetApplicableTask(IStorageActionsAccessor);DatabaseTask GetApplicableTask(IStorageActionsAccessor);ExecuteTasks
cs+class://Raven/Database/Indexing/IndexingExecuter;cs+class://Raven/Database/Indexing/AbstractIndexingExecuter;Void FlushAllIndexes();Void FlushAllIndexes();FlushIndexes
cs+class://Raven/Database/Indexing/IndexingExecuter;cs+class://Raven/Database/Indexing/AbstractIndexingExecuter;Boolean IsIndexStale(UnknownType, IStorageActionsAccessor, Boolean, UnknownType);Boolean IsIndexStale(UnknownType, IStorageActionsAccessor, Boolean, UnknownType);ExecuteIndexing
cs+class://Raven/Database/Indexing/IndexingExecuter;cs+class://Raven/Database/Indexing/AbstractIndexingExecuter;IndexToWorkOn GetIndexToWorkOn(UnknownType);IndexToWorkOn GetIndexToWorkOn(UnknownType);ExecuteIndexing
cs+class://Raven/Database/Indexing/IndexingExecuter;cs+class://Raven/Database/Indexing/AbstractIndexingExecuter;Void UpdateStalenessMetrics(Int32);Void UpdateStalenessMetrics(Int32);ExecuteIndexing
cs+class://Raven/Database/Indexing/IndexingExecuter;cs+class://Raven/Database/Indexing/AbstractIndexingExecuter;Void ExecuteIndexingWork(IList);Void ExecuteIndexingWork(IList);ExecuteIndexing
cs+class://Raven/Database/Storage/Esent/Backup/BackupOperation;cs+class://Raven/Database/Storage/BaseBackupOperation;Void ExecuteBackup(String, Boolean);Void ExecuteBackup(String, Boolean);Execute
cs+class://Raven/Database/Storage/Esent/Backup/BackupOperation;cs+class://Raven/Database/Storage/BaseBackupOperation;Void OperationFinished();Void OperationFinished();Execute
cs+class://Raven/Database/Storage/Esent/Backup/RestoreOperation;cs+class://Raven/Database/Storage/BaseRestoreOperation;Boolean IsValidBackup(String);Boolean IsValidBackup(String);ValidateRestorePreconditionsAndReturnLogsPath
cs+class://Raven/Database/Storage/Voron/Backup/BackupOperation;cs+class://Raven/Database/Storage/BaseBackupOperation;Void ExecuteBackup(String, Boolean);Void ExecuteBackup(String, Boolean);Execute
cs+class://Raven/Database/Storage/Voron/Backup/RestoreOperation;cs+class://Raven/Database/Storage/BaseRestoreOperation;Boolean IsValidBackup(String);Boolean IsValidBackup(String);ValidateRestorePreconditionsAndReturnLogsPath
cs+class://Raven/Client/Changes/RemoteDatabaseChanges;cs+class://Raven/Client/Changes/RemoteChangesClientBase[2];UnknownType SubscribeOnServer();UnknownType SubscribeOnServer();EstablishConnection
cs+class://Raven/Client/Changes/RemoteDatabaseChanges;cs+class://Raven/Client/Changes/RemoteChangesClientBase[2];UnknownType NotifySubscribers(String, RavenJObject, UnknownType);UnknownType NotifySubscribers(String, RavenJObject, UnknownType);OnNext
cs+class://Raven/Client/Connection/ReplicationInformer;cs+class://Raven/Client/Connection/ReplicationInformerBase[1];String GetServerCheckUrl(String);String GetServerCheckUrl(String);ShouldExecuteUsing
cs+class://Raven/Client/Document/AsyncShardedDocumentQuery[1];cs+class://Raven/Client/Document/AsyncDocumentQuery[1];UnknownType ExecuteActualQuery();UnknownType ExecuteActualQuery();InitSync
cs+class://Raven/Client/Document/AsyncShardedDocumentQuery[1];cs+class://Raven/Client/Document/AsyncDocumentQuery[1];UnknownType Lazily(UnknownType);UnknownType Lazily(UnknownType);Lazily
cs+class://Raven/Client/Document/AsyncShardedDocumentQuery[1];cs+class://Raven/Client/Document/AsyncDocumentQuery[1];UnknownType InitAsync();UnknownType InitAsync();QueryResultAsync
cs+class://Raven/Client/Document/AsyncShardedDocumentQuery[1];cs+class://Raven/Client/Document/AsyncDocumentQuery[1];UnknownType ExecuteActualQueryAsync();UnknownType ExecuteActualQueryAsync();InitAsync
cs+class://Raven/Client/Document/AsyncShardedDocumentQuery[1];cs+class://Raven/Client/Document/AsyncDocumentQuery[1];UnknownType ExecuteActualQuery();UnknownType ExecuteActualQuery();GetEnumerator
cs+class://Raven/Client/Document/AsyncShardedDocumentQuery[1];cs+class://Raven/Client/Document/AsyncDocumentQuery[1];UnknownType ExecuteActualQueryAsync();UnknownType ExecuteActualQueryAsync();ProcessEnumerator
cs+class://Raven/Client/Document/AsyncShardedDocumentQuery[1];cs+class://Raven/Client/Document/AsyncDocumentQuery[1];UnknownType InitAsync();UnknownType InitAsync();ToListAsync
cs+class://Raven/Client/Document/AsyncShardedDocumentQuery[1];cs+class://Raven/Client/Document/AsyncDocumentQuery[1];IAsyncDocumentQuery SelectFields(UnknownType, UnknownType);IAsyncDocumentQuery SelectFields(UnknownType, UnknownType);SelectFields
cs+class://Raven/Client/Document/DefaultRavenContractResolver;cs+class://Raven/Imports/Newtonsoft/Json/Serialization/DefaultContractResolver;JsonObjectContract CreateObjectContract(UnknownType);JsonObjectContract CreateObjectContract(UnknownType);CreateContract
cs+class://Raven/Client/Document/DefaultRavenContractResolver;cs+class://Raven/Imports/Newtonsoft/Json/Serialization/DefaultContractResolver;JsonObjectContract CreateObjectContract(UnknownType);JsonObjectContract CreateObjectContract(UnknownType);CreateContract
cs+class://Raven/Client/Document/DefaultRavenContractResolver;cs+class://Raven/Imports/Newtonsoft/Json/Serialization/DefaultContractResolver;UnknownType GetSerializableMembers(UnknownType);UnknownType GetSerializableMembers(UnknownType);CreateProperties
cs+class://Raven/Client/Document/DocumentSession;cs+class://Raven/Client/Document/InMemoryDocumentSessionOperations;JsonDocument GetJsonDocument(String);JsonDocument GetJsonDocument(String);GetDocumentMetadata
