fromType;toType;fromMethod;toMethod;calledFrom
cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor;cs+class://Gallio/Runtime/ProgressMonitoring/CancelableProgressMonitor;Void Done();Void Done();Dispose
cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor/SubProgressMonitor;cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor;Void OnCancel();Void OnCancel();Cancel
cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor/SubProgressMonitor;cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor;Void OnBeginTask(String, Double);Void OnBeginTask(String, Double);BeginTask
cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor/SubProgressMonitor;cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor;Void OnWorked(Double);Void OnWorked(Double);Worked
cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor/SubProgressMonitor;cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor;Void OnWorked(Double);Void OnWorked(Double);Done
cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor/SubProgressMonitor;cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor;Void OnDone();Void OnDone();Done
cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor/SubProgressMonitor;cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor;Void OnChange();Void OnChange();OnBeginTask
cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor/SubProgressMonitor;cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor;Void OnChange();Void OnChange();OnWorked
cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor/SubProgressMonitor;cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor;Void OnChange();Void OnChange();OnDone
cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor/SubProgressMonitor;cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor;Void OnChange();Void OnChange();OnSetStatus
cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor/SubProgressMonitor;cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor;Void OnChange();Void OnChange();OnBeginSubTask
cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor/SubProgressMonitor;cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor;Void OnChange();Void OnChange();OnEndSubTask
cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor/SubProgressMonitor;cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor;Void OnChange();Void OnChange();OnRecursiveSubTaskChange
cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor/SubProgressMonitor;cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor;Void OnChange();Void OnChange();OnCancel
cs+class://Gallio/Runtime/ProgressMonitoring/RemoteProgressMonitor;cs+class://Gallio/Runtime/ProgressMonitoring/CancelableProgressMonitor;Void OnCancel();Void OnCancel();Cancel
cs+class://Gallio/Runtime/ProgressMonitoring/RemoteProgressMonitor;cs+class://Gallio/Runtime/ProgressMonitoring/CancelableProgressMonitor;Void Dispose(Boolean);Void Dispose(Boolean);Dispose
cs+class://Gallio/Runtime/ProgressMonitoring/RemoteProgressMonitor;cs+class://Gallio/Runtime/ProgressMonitoring/CancelableProgressMonitor;Void Done();Void Done();Dispose
cs+class://Gallio/Runtime/ProgressMonitoring/RichConsoleProgressMonitorPresenter;cs+class://Gallio/Runtime/ProgressMonitoring/BaseProgressMonitorPresenter;Void Initialize();Void Initialize();Present
cs+class://Gallio/Runtime/ProgressMonitoring/RichConsoleProgressMonitorProvider;cs+class://Gallio/Runtime/ProgressMonitoring/BaseProgressMonitorProvider;IProgressMonitorPresenter GetPresenter();IProgressMonitorPresenter GetPresenter();Run
cs+class://Gallio/Framework/Data/ValueSequenceDataSet;cs+class://Gallio/Framework/Data/BaseDataSet;Boolean CanBindImpl(DataBinding);Boolean CanBindImpl(DataBinding);CanBind
cs+class://Gallio/Framework/Data/ValueSequenceDataSet;cs+class://Gallio/Framework/Data/BaseDataSet;IEnumerable GetItemsImpl(ICollection, Boolean);IEnumerable GetItemsImpl(ICollection, Boolean);GetItems
cs+class://Gallio/Framework/Data/CsvDataSet;cs+class://Gallio/Framework/Data/BaseDataSet;Boolean CanBindImpl(DataBinding);Boolean CanBindImpl(DataBinding);CanBind
cs+class://Gallio/Framework/Data/CsvDataSet;cs+class://Gallio/Framework/Data/BaseDataSet;IEnumerable GetItemsImpl(ICollection, Boolean);IEnumerable GetItemsImpl(ICollection, Boolean);GetItems
cs+class://Gallio/Framework/Data/CsvDataSet/Item;cs+class://Gallio/Framework/Data/SimpleDataItem;Object GetValueImpl(DataBinding);Object GetValueImpl(DataBinding);GetValue
cs+class://Gallio/Framework/Data/DataSource;cs+class://Gallio/Framework/Data/MergedDataSet;Boolean CanBindImpl(DataBinding);Boolean CanBindImpl(DataBinding);CanBind
cs+class://Gallio/Framework/Data/DataSource;cs+class://Gallio/Framework/Data/MergedDataSet;IEnumerable GetItemsImpl(ICollection, Boolean);IEnumerable GetItemsImpl(ICollection, Boolean);GetItems
cs+class://Gallio/Framework/Data/DataSource/TranslatedDataItem;cs+class://Gallio/Framework/Data/BaseDataItem;Void PopulateMetadataImpl(PropertyBag);Void PopulateMetadataImpl(PropertyBag);PopulateMetadata
cs+class://Gallio/Framework/Data/DataSource/TranslatedDataItem;cs+class://Gallio/Framework/Data/BaseDataItem;Object GetValueImpl(DataBinding);Object GetValueImpl(DataBinding);GetValue
cs+class://Gallio/Framework/Data/JoinedDataSet;cs+class://Gallio/Framework/Data/AggregateDataSet;Boolean CanBindImpl(DataBinding);Boolean CanBindImpl(DataBinding);CanBind
cs+class://Gallio/Framework/Data/JoinedDataSet;cs+class://Gallio/Framework/Data/AggregateDataSet;IEnumerable GetItemsImpl(ICollection, Boolean);IEnumerable GetItemsImpl(ICollection, Boolean);GetItems
cs+class://Gallio/Framework/Data/JoinedDataSet/JoinedDataItem;cs+class://Gallio/Framework/Data/BaseDataItem;Void PopulateMetadataImpl(PropertyBag);Void PopulateMetadataImpl(PropertyBag);PopulateMetadata
cs+class://Gallio/Framework/Data/JoinedDataSet/JoinedDataItem;cs+class://Gallio/Framework/Data/BaseDataItem;Object GetValueImpl(DataBinding);Object GetValueImpl(DataBinding);GetValue
cs+class://Gallio/Framework/Data/ListDataItem[1];cs+class://Gallio/Framework/Data/SimpleDataItem;Object GetValueImpl(DataBinding);Object GetValueImpl(DataBinding);GetValue
cs+class://Gallio/Framework/Data/MergedDataSet;cs+class://Gallio/Framework/Data/AggregateDataSet;Boolean CanBindImpl(DataBinding);Boolean CanBindImpl(DataBinding);CanBind
cs+class://Gallio/Framework/Data/MergedDataSet;cs+class://Gallio/Framework/Data/AggregateDataSet;IEnumerable GetItemsImpl(ICollection, Boolean);IEnumerable GetItemsImpl(ICollection, Boolean);GetItems
