Field guide:
#;alphabetical numbering per study
Domain;Categorization of the system
PVar;Proportion of 'var' keyword usage
Type;Replication study or data from original study
Language;C# or Java
Name;System name
Remaining fields;See https://www.cs.auckland.ac.nz/~ewan/qualitas/studies/inheritance/docs.html#Metrics
#;Domain;Pvar;Type;Language;Name;nExplicitCC;nCCUsed;pCCUsed;nCCDC;pCCDC;nCCSubtype;pCCSubtype;nCCExreuseNoSubtype;pCCExreuseNoSubtype;nCCUsedOnlyInRe;pCCUsedOnlyInRe;nCCUnexplSuper;pCCUnexplSuper;nCCUnexplCategory;pCCUnexplCategory;nCCUnknown;pCCUnknown;nExplicitCI;nOnlyCISubtype;pOnlyCISubtype;nExplainedCI;pExplainedCI;nCategoryExplCI;pCategoryExplCI;nUnexplainedCI;pUnexplainedCI;nExplicitII;nIISubtype;pIISubtype;nOnlyIIReuse;pOnlyIIReuse;nExplainedII;pExplainedII;nCategoryExplII;pCategoryExplII;nUnexplainedII;pUnexplainedII
51;Persistence Object Mapper;0,289499744;Replication Study;C#;NHibernate.Everything;2218;1848;0,833183;365;0,164562;832;0,450216;53;0,028679;963;0,521103;70;0,031559;22;0,009918;206;0,092876;888;524;0,59009;18;0,02027;106;0,119369;240;0,27027;177;71;0,401129;6;0,033898;2;0,011299;14;0,079096;84;0,474576
52;testing;0,43968254;Replication Study;C#;NLog.netfx45;301;247;0,820598;133;0,44186;155;0,62753;1;0,004048;91;0,368421;0;0;0;0;41;0,136212;31;14;0,451612;0;0;1;0,032258;16;0,516129;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
53;testing;0,035714286;Replication Study;C#;NMock2;66;47;0,712121;21;0,318181;31;0,659574;0;0;16;0,340425;0;0;0;0;19;0,287878;56;38;0,678571;1;0,017857;4;0,071428;13;0,232142;14;6;0,428571;0;0;1;0,071428;1;0,071428;6;0,428571
54;testing;0,895573212;Replication Study;C#;NSubstitute.2010;216;180;0,833333;15;0,069444;7;0,038888;5;0,027777;168;0,933333;1;0,004629;0;0;21;0,097222;96;62;0,645833;5;0,052083;3;0,03125;26;0,270833;3;2;0,666666;0;0;0;0;0;0;1;0,333333
55;parsers/generators/make;0,608150967;Replication Study;C#;NuGet;151;144;0,953642;68;0,450331;80;0,555555;21;0,145833;43;0,298611;4;0,02649;0;0;1;0,006622;235;120;0,510638;3;0,012765;25;0,106382;87;0,370212;31;24;0,774193;2;0,064516;0;0;3;0,096774;2;0,064516
56;tool/other;0,567567568;Replication Study;C#;openbastard;11;9;0,818181;1;0,090909;2;0,222222;0;0;7;0,777777;0;0;0;0;2;0,181818;3;1;0,333333;2;0,666666;0;0;0;0;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
57;3D/graphics/media;0,001953873;Replication Study;C#;OpenSim;736;579;0,786684;108;0,146739;403;0,696027;10;0,017271;166;0,286701;56;0,076086;74;0,100543;23;0,03125;642;265;0,412772;1;0,001557;221;0,344236;155;0,241433;21;11;0,523809;4;0,190476;0;0;4;0,190476;2;0,095238
58;3D/graphics/media;0,355826266;Replication Study;C#;OpenTK;124;119;0,959677;53;0,427419;99;0,831932;7;0,058823;13;0,109243;0;0;0;0;0;0;80;51;0,6375;8;0,1;12;0,15;9;0,1125;5;0;0;2;0,4;2;0,4;1;0,2;0;0
59;middleware;0,794428335;Replication Study;C#;Orchard;727;529;0,727647;96;0,132049;256;0,483931;36;0,068052;237;0,448015;1;0,001375;52;0,071526;113;0,155433;921;160;0,173724;29;0,031487;78;0,08469;654;0,710097;360;8;0,022222;2;0,005555;342;0,95;4;0,011111;4;0,011111
60;tool/other;0,906953967;Replication Study;C#;ORMBattle.NET Test Suite;51;37;0,72549;12;0,235294;19;0,513513;6;0,162162;12;0,324324;0;0;3;0,058823;3;0,058823;2;0;0;0;0;0;0;2;1;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
61;SDK;0,164207914;Replication Study;C#;Proto 2013;165;99;0,6;3;0,018181;86;0,868686;8;0,080808;5;0,050505;0;0;13;0,078787;51;0,30909;117;47;0,401709;4;0,034188;28;0,239316;38;0,324786;7;3;0,428571;0;0;0;0;1;0,142857;3;0,428571
