fromType;toType;fromMethod;toMethod;calledFrom
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestApprovalViewModel;cs+class://SifGroup/QualityManagement/DataModel/ValidatingObject;Void OnPropertyChanged(String);Void OnPropertyChanged(String);Set
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ProjectQueryViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Void OnProjectChanged();Void OnProjectChanged();(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ReportOverviewViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];Task OnRefreshCompleted();Task OnRefreshCompleted();CallRefreshCompleted
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/NonPlatesViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];Void ConfigureRelatedData(RelatedDataConfiguration);Void ConfigureRelatedData(RelatedDataConfiguration);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/NonPlatesViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];Void ConfigureMultiEditProperties(IMultiEditConfiguration);Void ConfigureMultiEditProperties(IMultiEditConfiguration);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/NonPlatesViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];Task RefreshAsync();Task RefreshAsync();OnImportsSatisfied
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/NonPlatesViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];Task RefreshAsync();Task RefreshAsync();OnActivated
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/NonPlatesViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];Task RefreshAsync();Task RefreshAsync();ResetViewModel
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/NonPlatesViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];Task RefreshAsync();Task RefreshAsync();BeginRefresh
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/NonPlatesViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];IEnumerable ClientQuery(IEnumerable);IEnumerable ClientQuery(IEnumerable);RefreshAsync
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ProjectsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CachingSimpleCrudViewModel[3];Void ConfigureRelatedData(RelatedDataConfiguration);Void ConfigureRelatedData(RelatedDataConfiguration);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ProjectsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CachingSimpleCrudViewModel[3];Task OnFinalizeRefresh();Task OnFinalizeRefresh();CallFinalizeRefresh
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ReportSettings/ProjectReportIndexesViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Void ConfigureRelatedData(RelatedDataConfiguration);Void ConfigureRelatedData(RelatedDataConfiguration);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/ReportSettings/ProjectReportIndexesViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Task OnRefreshCompleted();Task OnRefreshCompleted();CallRefreshCompleted
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestSettings/DefaultTestSettingsViewModel;cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestSettings/TestSettingsViewModelBase;Task GetItemsAsync(ITestSettingService);Task GetItemsAsync(ITestSettingService);ResetItems
