Direct?;From;To;Type;Member;FromMember
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulationItem;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/SimulationScopedModel;MethodCall;SimulationId;cs+class://Qnh/Sbs/PricingTool/Common/Model/Export/Fields/SimulationId/GetData
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulationItem;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/SimulationScopedModel;MethodCall;SimulationId;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/CostUpSimulationBusiness/GetItemNumberList
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulationItem;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/SimulationScopedModel;MethodCall;Simulation;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/CostUpSimulationBusiness/LoadSimulation
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulationItem;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/SimulationScopedModel;MethodCall;SimulationId;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/CostUpSimulationBusiness/LoadSimulation
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulationItem;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/SimulationScopedModel;MethodCall;Simulation;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/CostUpSimulationBusiness/LoadSimulation
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulationItem;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/SimulationScopedModel;MethodCall;Simulation;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostElementViewModel/(field initializer)
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulationItem;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/SimulationScopedModel;MethodCall;SimulationId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostElementViewModel/(field initializer)
False;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulationItem;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/SimulationScopedModel;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostElementViewModel/(field initializer)
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/Cost;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/ImportEntityBase;MethodCall;BatchId;cs+class://Qnh/Sbs/PricingTool/Business/Import/CostParser/CountErrors
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/ItemMaster;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/ImportEntityBase;MethodCall;BatchId;cs+class://Qnh/Sbs/PricingTool/Business/Import/ItemMasterParser/CountErrors
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/SalesHistory;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/ImportEntityBase;MethodCall;BatchId;cs+class://Qnh/Sbs/PricingTool/Business/Import/SalesHistoryParser/CountErrors
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/SellingPrice;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/ImportEntityBase;MethodCall;BatchId;cs+class://Qnh/Sbs/PricingTool/Business/Import/SellingPriceParser/CountErrors
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/ShapeCoefficient;cs+class://Qnh/Sbs/PricingTool/Common/Model/Import/ImportEntityBase;MethodCall;BatchId;cs+class://Qnh/Sbs/PricingTool/Business/Import/ShapeCoefficientParser/CountErrors
False;cs+class://Qnh/Sbs/PricingTool/Common/Model/PriceAnalysisSimulation/PriceAnalysisSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/SimulationBase;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/GlobalPriceChangeBusiness/CreateFromDb
False;cs+class://Qnh/Sbs/PricingTool/Common/Model/PriceAnalysisSimulation/PriceAnalysisSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/SimulationBase;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/GlobalPriceChangeBusiness/CreateFromDb
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/PriceAnalysisSimulation/PriceAnalysisSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/SimulationBase;MethodCall;SimulationId;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/GlobalPriceChangeBusiness/OpenExistingSimulation
False;cs+class://Qnh/Sbs/PricingTool/Common/Model/PriceAnalysisSimulation/PriceAnalysisSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/SimulationBase;MethodCall;DateModified;cs+class://Qnh/Sbs/PricingTool/Business/Simulation/GlobalPriceChangeBusiness/SaveExisting
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/PriceAnalysisSimulation/PriceAnalysisSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/SimulationBase;MethodCall;Description;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/NewSimulation/SimulationFactory/PriceAnalysisFactory/ConstructSimulation
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/PriceAnalysisSimulation/PriceAnalysisSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/SimulationBase;MethodCall;CreatedBy;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/NewSimulation/SimulationFactory/PriceAnalysisFactory/ConstructSimulation
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/PriceAnalysisSimulation/PriceAnalysisSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/SimulationBase;MethodCall;SimulationId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/PriceAnalysis/PriceAnalysisViewModel/LoadData
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/PriceAnalysisSimulation/PriceAnalysisSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/SimulationBase;MethodCall;Description;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/PriceAnalysis/PriceAnalysisViewModel/SetSimulationImpl
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/HistoricalData/SalesHistory;cs+class://Qnh/Sbs/PricingTool/Common/Model/MarketScopedModel;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/Business/MasterData/PastAverageMargin/GetMargins
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/Market;cs+class://Qnh/Sbs/PricingTool/Common/Model/MarketScopedModel;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/Data/MarketProvider/ChangeMarket
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/Market;cs+class://Qnh/Sbs/PricingTool/Common/Model/MarketScopedModel;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/Data/MarketProvider/ChangeMarket
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/Market;cs+class://Qnh/Sbs/PricingTool/Common/Model/MarketScopedModel;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/Data/MarketProvider/GetActiveMarket
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/Market;cs+class://Qnh/Sbs/PricingTool/Common/Model/MarketScopedModel;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/Data/MarketProvider/GetActiveMarket
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/Market;cs+class://Qnh/Sbs/PricingTool/Common/Model/MarketScopedModel;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/Data/MarketProvider/GetActiveMarket
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/Market;cs+class://Qnh/Sbs/PricingTool/Common/Model/MarketScopedModel;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/Data/MarketProvider/GetAvailableMarkets
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/Market;cs+class://Qnh/Sbs/PricingTool/Common/Model/MarketScopedModel;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/Data/MarketContext/GetAvailableMarketsForUser
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/Market;cs+class://Qnh/Sbs/PricingTool/Common/Model/MarketScopedModel;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/Administration/ViewModel/MarketDetailViewModel/LoadMarketData
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/Market;cs+class://Qnh/Sbs/PricingTool/Common/Model/MarketScopedModel;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/Administration/ViewModel/MarketsViewModel/ChangeSelection
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/Market;cs+class://Qnh/Sbs/PricingTool/Common/Model/MarketScopedModel;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/Administration/ViewModel/MarketsViewModel/CreateViewModel
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/Market;cs+class://Qnh/Sbs/PricingTool/Common/Model/MarketScopedModel;MethodCall;MarketId;cs+class://Qnh/Sbs/PricingTool/Administration/ViewModel/MarketsViewModel/ViewModelOnPurgeRequested
