direct?;source;from;to;from declaration
True;Return;cs+class://Raven/Database/Embedded/OwinEmbeddedHost/OwinEmbeddedServerFactory/Disposable;cs+interface://System/IDisposable;Create in Raven.Database.Embedded.OwinEmbeddedHost.OwinEmbeddedServerFactory
False;Parameter;cs+class://Raven/Database/Bundles/ScriptedIndexResults/ScriptedIndexResultsJsonPatcherScope;cs+class://Raven/Database/Json/DefaultScriptedJsonPatcherOperationScope;Dispose in Raven.Database.Bundles.ScriptedIndexResults.ScriptedIndexResultsIndexTrigger.Batcher
False;Parameter;cs+class://Raven/Database/Bundles/ScriptedIndexResults/ScriptedIndexResultsJsonPatcherScope;cs+class://Raven/Database/Json/DefaultScriptedJsonPatcherOperationScope;Dispose in Raven.Database.Bundles.ScriptedIndexResults.ScriptedIndexResultsIndexTrigger.Batcher
False;Parameter;cs+class://Raven/Database/Bundles/ScriptedIndexResults/ScriptedIndexResultsJsonPatcherScope;cs+class://Raven/Database/Json/DefaultScriptedJsonPatcherOperationScope;CanLoadPutDocumentsMultipleTimesInPatcher in Raven.Tests.Issues.RavenDB_1601
False;Parameter;cs+class://Raven/Database/Bundles/ScriptedIndexResults/ScriptedIndexResultsJsonPatcherScope;cs+class://Raven/Database/Json/DefaultScriptedJsonPatcherOperationScope;ScriptedIndexResultsPatcherShouldNotPatchDocumentsThatAreIndirectlyReferencedByIndexRaw in Raven.Tests.Issues.RavenDB_1825
True;Parameter;cs+class://Raven/Database/Json/DefaultScriptedJsonPatcherOperationScope;cs+class://Raven/Database/Json/ScriptedJsonPatcherOperationScope;ApplyPatch in Raven.Database.Actions.PatchActions
True;Parameter;cs+class://Raven/Database/Json/DefaultScriptedJsonPatcherOperationScope;cs+class://Raven/Database/Json/ScriptedJsonPatcherOperationScope;ApplyPatch in Raven.Database.Actions.PatchActions
True;Parameter;cs+class://Raven/Database/Json/DefaultScriptedJsonPatcherOperationScope;cs+class://Raven/Database/Json/ScriptedJsonPatcherOperationScope;ApplyPatch in Raven.Database.Actions.PatchActions
True;Parameter;cs+class://Raven/Database/Json/DefaultScriptedJsonPatcherOperationScope;cs+class://Raven/Database/Json/ScriptedJsonPatcherOperationScope;Manual in Raven.Tests.Bugs.LoDash
True;Parameter;cs+class://Raven/Database/Json/DefaultScriptedJsonPatcherOperationScope;cs+class://Raven/Database/Json/ScriptedJsonPatcherOperationScope;CanApplyBasicScriptAsPatch in Raven.Tests.Patching.AdvancedPatching
