fromType;toType;fromMethod;toMethod;calledFrom
cs+class://ICSharpCode/SharpDevelop/Editor/Commands/ReformatSelection;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Editor/Commands/CommentRegion;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Editor/Commands/GoToDefinition;cs+class://ICSharpCode/SharpDevelop/Editor/Commands/ResolveResultMenuCommand;Void Run(ResolveResult);Void Run(ResolveResult);Execute
cs+class://ICSharpCode/SharpDevelop/Editor/Commands/GoToMatchingBrace;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Editor/Commands/IndentSelection;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Editor/Commands/InsertGuidCommand;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Editor/Commands/PasteAsCommand;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Editor/Commands/PasteAsCommentCommand;cs+class://ICSharpCode/SharpDevelop/Editor/Commands/PasteAsCommand;Void Run(ITextEditor, String);Void Run(ITextEditor, String);Run
cs+class://ICSharpCode/SharpDevelop/Editor/Commands/PasteAsStringCommand;cs+class://ICSharpCode/SharpDevelop/Editor/Commands/PasteAsCommand;Void Run(ITextEditor, String);Void Run(ITextEditor, String);Run
cs+class://ICSharpCode/SharpDevelop/Editor/Commands/ShowColorDialog;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Editor/Search/ClearSearchResultsList;cs+class://ICSharpCode/Core/AbstractMenuCommand;Void Run();Void Run();Execute
cs+class://ICSharpCode/SharpDevelop/Editor/TextNavigationPoint;cs+class://ICSharpCode/SharpDevelop/DefaultNavigationPoint;Int32 CompareTo(Object);Int32 CompareTo(Object);(field initializer)
cs+class://ICSharpCode/SharpDevelop/Editor/TextNavigationPoint;cs+class://ICSharpCode/SharpDevelop/DefaultNavigationPoint;Int32 CompareTo(Object);Int32 CompareTo(Object);(field initializer)
