From;To;Source
cs+class://Mono/Cecil/MethodReference;cs+class://Mono/Cecil/MemberReference;(not implemented)
cs+class://Mono/Cecil/ParameterDefinition;cs+class://Mono/Cecil/ParameterReference;(not implemented)
cs+class://Mono/Cecil/PointerType;cs+class://Mono/Cecil/TypeSpecification;(not implemented)
cs+class://Mono/Cecil/PropertyDefinition;cs+class://Mono/Cecil/PropertyReference;(not implemented)
cs+class://Mono/Cecil/PropertyReference;cs+class://Mono/Cecil/MemberReference;(not implemented)
cs+class://Mono/Cecil/ByReferenceType;cs+class://Mono/Cecil/TypeSpecification;(not implemented)
cs+class://Mono/Cecil/MemberDefinitionCollection[1];cs+class://Mono/Collections/Generic/Collection[1];(not implemented)
cs+class://Mono/Cecil/SentinelType;cs+class://Mono/Cecil/TypeSpecification;(not implemented)
cs+class://Mono/Cecil/TypeDefinition;cs+class://Mono/Cecil/TypeReference;(not implemented)
cs+class://Mono/Cecil/TypeDefinitionCollection;cs+class://Mono/Collections/Generic/Collection[1];(not implemented)
cs+class://Mono/Cecil/TypeReference;cs+class://Mono/Cecil/MemberReference;(not implemented)
cs+class://Mono/Cecil/TypeSpecification;cs+class://Mono/Cecil/TypeReference;(not implemented)
cs+class://Mono/Cecil/TypeSystem/CoreTypeSystem;cs+class://Mono/Cecil/TypeSystem;(not implemented)
cs+class://Mono/Cecil/TypeSystem/CommonTypeSystem;cs+class://Mono/Cecil/TypeSystem;(not implemented)
cs+class://ICSharpCode/NRefactory/Editor/StringBuilderDocument/InsertionWithMovementBefore;cs+class://ICSharpCode/NRefactory/Editor/TextChangeEventArgs;(not implemented)
cs+class://ICSharpCode/NRefactory/AbstractAnnotatable/AnnotationList;cs+class://System/Collections/Generic/List[1];(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/AmbiguousTypeResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/TypeResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/AmbiguousMemberResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/MemberResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/ArrayAccessResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
cs+class://ICSharpCode/NRefactory/Semantics/ArrayCreateResolveResult;cs+class://ICSharpCode/NRefactory/Semantics/ResolveResult;(not implemented)
